Name of Center,District,Course,Year,Semester,Subject,Subject Code,Date,Time
"DN PG College, Meerut",Meerut,B.Sc.,All Year,All Semester,Physics,-,17.03.2026,08:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Sc.,All Year,All Semester,Physics,-,17.03.2026,08:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc.,All Year,All Semester,Zoology,-,17.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Sc.,All Year,All Semester,Zoology,-,17.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Sc.,All Year,All Semester,Chemistry,-,11.03.2026 to 13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc.,All Year,All Semester,Chemistry,-,16.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc.,All Year,All Semester,Statistics,-,16.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Com.,All Year,All Semester,Commerce,-,17.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Com.,All Year,All Semester,Commerce,-,17.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc.,All Year,All Semester,Mathematics,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Sc.,All Year,All Semester,Mathematics,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,1st Semester,Botany,-,12.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Sc.,-,1st Semester,Botany,-,12.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,2nd Semester,Botany,-,12.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Sc.,-,3rd Semester,Botany,-,12.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,3rd Semester,Botany,-,12.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,M.Sc.,-,4th Semester,Botany,-,12.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,4th Semester,Botany,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc.,3rd Year,-,Botany,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,5th Semester,Botany,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,6th Semester,Botany (Project),-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,6th Semester,Botany,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc.,2nd Year,-,Botany,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.A.,All Year,All Semester,Computer Application,-,13.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.A. (NEP),-,All Semester,Sports & Physical Education,-,17.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc. (NEP),-,All Semester,Sports & Physical Education,-,17.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Com. (NEP),-,All Semester,Sports & Physical Education,-,17.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.A.,All Year,-,Sports & Physical Education,"A-001, 002, 003",16.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Sc.,All Year,-,Sports & Physical Education,"B-001, 002, 003",16.03.2026,10:00 AM Onwards
"DN PG College, Meerut",Meerut,B.Com.,All Year,-,Sports & Physical Education,"C-001, 002, 003",16.03.2026,10:00 AM Onwards
